Title,Key
Thunder Kiss ’65 (Tobacco remix),12154
Never Gonna Stop (Drumcorps Grind remix),12155
Pussy Liquor,15113
Thunder Kiss ’65 (Destructo remix),12157
More Human Than Human / Living Dead Girl / Burn (Jack Dangers remix),12158
Sawdust in the Blood,12191
American Witch,12192
Foxy Foxy,12193
The Scorpion Sleeps,12195
100 Ways,12196
Let It All Bleed Out,12197
Death of It All,12198
Ride,12199
The Devil’s Rejects,12200
The Lords of Salem,12201
Thunder Kiss ’65,19019
Feed the Gods,15100
More Human Than Human,15101
Super Charger Heaven,15102
Hands of Death (Burn Baby Burn),15104
The Great American Nightmare,15105
Dragula,15106
Living Dead Girl,15107
Superbeast,15108
Feel So Numb,15109
Never Gonna Stop (The Red Red Kroovy),15110
Demon Speeding,15111
Brick House 2003,15112
Blitzkrieg Bop,15114
Two-Lane Blacktop,15115
Girl on Fire,15116
Sinners Inc.,12203
Demon Speeding,12204
Dead Girl Superstar,12205
Never Gonna Stop (The Red, Red Kroovy),12206
Iron Head,12207
(Go to) California,12208
Feel So Numb,12209
Transylvanian Transmissions, Pt. 1,12210
Bring Her Down (to Crippletown),12211
House of 1000 Corpses,12178
Dragula (Si Non Oscillas, Noli Tintinnare mix),12215
Superbeast (Porno Holocaust mix),12216
How to Make a Monster (Kitty’s Purrrrformance mix),12217
Spookshow Baby,12233
The Ballad of Resurrection Joe and Rosa Whore (Ilsa She‐Wolf of Hollywood mix),12220
What Lurks on Channel X? (XXX mix),12221
Meet the Creeper (Pink Pussy mix),12222
Return of the Phantom Stranger (Tuesday Night at the Chop Shop mix),12223
Superbeast (Girl on a Motorcycle mix),12224
Meet the Creeper (Brute Man & Wonder Girl mix),12225
Call Of The Zombie,12227
Living Dead Girl,12230
Perversion 99,12231
How To Make A Monster,12234
The Ballad Of Resurrection Joe And Rosa Whore,12236
What Lurks On Channel X?,12237
Return Of The Phantom Stranger,12238
The Beginning Of The End,12239
Paranoid,14426
My Hero,7706
Hard to Handle,9479
Nothing Compares 2 U,6917
Would?,20448
Violet,20134
Time Bomb,7250
Sabotage,17843
Rearviewmirror,5862
Plush,6834
No Rain,16693
My Wave,6175
More Human Than Human,11315
Midlife Crisis,17290
Drinking in L.A.,15855
Bulls on Parade,15119
Be Quiet and Drive (Far Away),18774
Army of Me,16610
1979,7419
Losing My Religion,12269
Hurt,15657
Paint It, Black,12124
Going Under,15674
Down in a Hole,20439
Times Like These,7708
Pour Some Sugar on Me,16716
Iron Man,14407
Even Flow,5840
Walk on the Wild Side,18016
Good Times Bad Times,13224
Black Hole Sun,6180
Bad Moon Rising,14100
Down With the Sickness,11084
Best of You,7703
Chop Suey!,19824
Killing in the Name,7446
Fortunate Son,14105
Bohemian Rhapsody,12521
Livin’ on a Prayer,11188
Come as You Are,8408
Enter Sandman,15517
Trompe le Monde,12708
Planet of Sound,12709
Alec Eiffel,12710
The Sad Punk,12711
Head On,12712
U‐Mass,12713
Palace of the Brine,12714
Letter to Memphis,12715
Bird Dream of the Olympus Mons,12716
Space (I Believe In),12717
Subbacultcha,12718
Distance Equals Rate Times Time,12719
Lovely Day,12720
Motorway to Roswell,12721
The Navajo Know,12722
Cecilia Ann,12815
Rock Music,12816
Velouria,12817
Vermilion, Pt. 2,12035
Where Is My Mind?,12781
Strength Beyond Strength,15492
Only,10840
A Thousand Lies,9715
Bulletproof!,6074
Def Con One,6075
No Comply,9774
Age of Panic,9766
Highway to Hell,14805
Back in Black,14829
State of Love and Trust,5720
Something I Can Never Have,15552
Closer,6539
Knives,19478
Isolation,19487
Angry Inch,18665
Life Is Killing Me,18661
I Don’t Wanna Be Me,18655
Through and Through,18089
Bad Seed,18092
Method of Groove,18055
Words and Music,18090
Searching With My Good Eye Closed,6238
Rusty Cage,6232
Sweet Child o’ Mine,10509
Mr. Brownstone,10505
Paradise City,10506
Black,5708
Fear of the Dark,18010
The Trooper,16582
2 Minutes to Midnight,17905
Aces High,17904
Be Quick or Be Dead,17999
The Number of the Beast,16592
Run to the Hills,16593
Seventh Son of a Seventh Son,16316
Can I Play With Madness,16314
Title,Key
Survivalism,6451
The Beginning of the End,6450
Saint Isabelle,11865
Battle Hymns,11878
Get Up,12281
Nutshell,14613
Electric Head, Pt. 1 (The Agony),11308
I Like Goils,18658
Beaver Patrol,6053
Weeds,18059
Wish,15392
Thunderstruck,14823
Lost at 22,18074
Just Breathe,6005
Outshined,6233
Scum of the Earth,12212
A Drug Against War,17531
Walk,15507
N.W.O,6376
Psalm 69,6388
Dog Day Sunrise,17275
Zero Signal,17272
Man in the Box,20451
Got Me Wrong,14549
Ten Ton Hammer,18221
Jeremy,5709
Porch,5711
Yellow Ledbetter,5963
Black,5708
Paradise City,10506
Mr. Brownstone,10505
Sweet Child o’ Mine,10509
Rusty Cage,6232
Searching With My Good Eye Closed,6238
Words and Music,18090
Method of Groove,18055
Bad Seed,18092
Through and Through,18089
I Don’t Wanna Be Me,18655
Life Is Killing Me,18661
Angry Inch,18665
Knives,19478
Isolation,19487
Closer,6539
Something I Can Never Have,15552
State of Love and Trust,5720
Back in Black,14829
Highway to Hell,14805
Age of Panic,9766
No Comply,9774
Eject,9773
Def Con One,6075
Bulletproof!,6074
A Thousand Lies,9715
Old,9714
Davidian,9713
Only,10840
Strength Beyond Strength,15492
Where Is My Mind?,12781
Vermilion, Pt. 2,12035
Swagger,7063
Epic,7379
The Outsider,14927
Man on the Moon,12264
Learn to Fly,7707
Everlong,7704
Elderly Woman Behind the Counter in a Small Town,5824
Patience,10410
Used to Love Her,10441
Mind Your Manners,5809
The Hand That Feeds,6469
This Time,18054
The Nurse Who Loved Me,14929
Second Hand News,13733
Oh Daddy,13742
Teenage Nosferatu Pussy,12128
Anna Begins,14308
Raining in Baltimore,14331
Perfect Blue Buildings,14312
Vasoline,6815
Interstate Love Song,6817
Big Empty,6821
Evidence,7365
I Want Your (Hands on Me),6927
Wuthering Heights,17687
Babooshka  (2018 Remaster),10724
The Man with the Child in His Eyes  (2018 Remaster),10712
Diamonds on My Windshield,20225
Say Hello 2 Heaven,15319
Enter Sandman,15517
Come as You Are,8408
Go Your Own Way,13737
Livin’ on a Prayer,11188
Bohemian Rhapsody,12521
Fortunate Son,14105
Killing in the Name,7446
Chop Suey!,19824
Best of You,7703
Down With the Sickness,11084
Bad Moon Rising,14100
Black Hole Sun,6180
Good Times Bad Times,13224
Walk on the Wild Side,18016
Even Flow,5840
Iron Man,14407
Pour Some Sugar on Me,16716
Times Like These,7708
Down in a Hole,20439
Going Under,15674
Paint It, Black,12124
Run to the Hills,16561
Hurt,15657
Losing My Religion,12269
1979,7419
Army of Me,16610
Be Quiet and Drive (Far Away),18774
Bulls on Parade,15119
Drinking in L.A.,15855
